loan_type,loan_purpose,business_or_commercial,loan_amount,rate_of_interest,term,income,age,Status
Personal Loan,Other,Personal,146500,3.5,180.0,6300.0,55-64,0
Mortgage Loan,Other,Personal,216500,3.75,360.0,5760.0,55-64,0
Personal Loan,Business Expansion,Personal,276500,4.375,360.0,3120.0,45-54,0
Personal Loan,Other,Personal,546500,4.625,360.0,7260.0,25-34,0
Business Loan,Other,Business,446500,3.99,360.0,0.0,35-44,1
Personal Loan,Home Purchase,Personal,56500,3.875,360.0,2940.0,<25,0
Personal Loan,Other,Personal,486500,4.99,360.0,6600.0,55-64,0
Personal Loan,Other,Personal,416500,4.25,240.0,5400.0,35-44,0
Mortgage Loan,Other,Personal,426500,2.875,360.0,5760.0,25-34,0
Personal Loan,Business Expansion,Personal,166500,3.99,360.0,2580.0,55-64,1
Personal Loan,Other,Personal,386500,3.69,240.0,17580.0,35-44,0
Personal Loan,Other,Personal,306500,3.99,360.0,9000.0,45-54,1
Mortgage Loan,Business Expansion,Personal,406500,4.125,180.0,5940.0,45-54,0
Personal Loan,Other,Personal,46500,4.5,360.0,1920.0,65-74,0
Business Loan,Business Expansion,Business,386500,3.99,360.0,7200.0,45-54,0
Personal Loan,Other,Personal,216500,3.99,360.0,2280.0,25-34,0
Personal Loan,Other,Personal,236500,3.5,360.0,6240.0,65-74,0
Personal Loan,Other,Personal,666500,3.875,360.0,6420.0,35-44,0
Personal Loan,Other,Personal,136500,3.99,240.0,2580.0,35-44,1
Personal Loan,Home Purchase,Personal,636500,4.625,360.0,11520.0,45-54,0
Personal Loan,Other,Personal,406500,4.0,360.0,5280.0,25-34,0
Personal Loan,Business Expansion,Personal,126500,4.625,180.0,2340.0,65-74,0
Personal Loan,Business Expansion,Personal,176500,3.875,360.0,2280.0,65-74,0
Personal Loan,Business Expansion,Personal,436500,4.875,360.0,5160.0,35-44,0
Personal Loan,Other,Personal,316500,3.625,360.0,2820.0,35-44,0
Personal Loan,Other,Personal,356500,4.125,240.0,17940.0,55-64,0
Personal Loan,Business Expansion,Personal,256500,4.75,360.0,13800.0,55-64,0
Personal Loan,Home Purchase,Personal,266500,3.99,360.0,3300.0,35-44,1
Personal Loan,Business Expansion,Personal,276500,3.99,360.0,3900.0,25-34,1
Personal Loan,Other,Personal,166500,3.99,168.0,4560.0,55-64,0
Personal Loan,Other,Personal,276500,4.18,360.0,4440.0,35-44,0
Personal Loan,Other,Personal,496500,4.375,360.0,6960.0,25-34,0
Personal Loan,Business Expansion,Personal,246500,3.875,324.0,11460.0,55-64,0
Mortgage Loan,Home Purchase,Personal,326500,4.99,360.0,6660.0,45-54,0
Personal Loan,Home Purchase,Personal,176500,4.125,360.0,3420.0,35-44,0
Personal Loan,Other,Personal,196500,4.75,360.0,3960.0,65-74,0
Personal Loan,Business Expansion,Personal,206500,3.99,180.0,4200.0,55-64,1
Personal Loan,Business Expansion,Personal,196500,3.875,360.0,14460.0,25-34,0
Personal Loan,Other,Personal,586500,3.875,360.0,11040.0,45-54,0
Personal Loan,Home Purchase,Personal,416500,3.99,324.0,5040.0,35-44,1
Personal Loan,Other,Personal,286500,3.875,360.0,8100.0,35-44,0
Personal Loan,Home Purchase,Personal,306500,4.5,360.0,7260.0,45-54,0
Mortgage Loan,Business Expansion,Personal,106500,3.5,360.0,3300.0,>74,0
Personal Loan,Other,Personal,306500,3.625,360.0,3720.0,25-34,0
Business Loan,Home Purchase,Business,186500,4.5,360.0,4260.0,35-44,0
Mortgage Loan,Business Expansion,Personal,116500,3.99,360.0,1800.0,65-74,0
Personal Loan,Other,Personal,396500,3.99,360.0,7800.0,35-44,1
Personal Loan,Other,Personal,276500,3.125,168.0,6720.0,45-54,0
Personal Loan,Business Expansion,Personal,436500,4.125,360.0,5700.0,55-64,0
Personal Loan,Other,Personal,396500,3.625,324.0,7680.0,45-54,0
Personal Loan,Home Purchase,Personal,666500,3.99,360.0,7800.0,55-64,1
Personal Loan,Other,Personal,436500,3.75,240.0,9000.0,45-54,0
Personal Loan,Other,Personal,216500,2.875,180.0,4320.0,45-54,0
Mortgage Loan,Business Expansion,Personal,196500,3.99,360.0,1500.0,>74,1
Personal Loan,Home Purchase,Personal,206500,4.5,360.0,5820.0,55-64,0
Business Loan,Other,Business,146500,3.75,360.0,3660.0,55-64,0
Mortgage Loan,Business Expansion,Personal,146500,3.99,300.0,3000.0,25-34,1
Personal Loan,Business Expansion,Personal,246500,3.99,240.0,4800.0,45-54,1
Personal Loan,Business Expansion,Personal,406500,3.99,360.0,6720.0,65-74,1
Personal Loan,Home Purchase,Personal,436500,3.75,360.0,5520.0,25-34,0
Personal Loan,Home Purchase,Personal,186500,3.75,360.0,2940.0,25-34,0
Business Loan,Business Expansion,Business,346500,3.25,360.0,5400.0,45-54,0
Business Loan,Business Expansion,Business,106500,3.99,360.0,7680.0,35-44,1
Mortgage Loan,Business Expansion,Personal,276500,3.99,360.0,7800.0,45-54,1
Personal Loan,Business Expansion,Personal,206500,3.875,360.0,3060.0,65-74,0
Personal Loan,Other,Personal,86500,3.99,360.0,2280.0,>74,0
Personal Loan,Other,Personal,476500,3.625,360.0,6120.0,25-34,0
Personal Loan,Business Expansion,Personal,206500,3.99,360.0,4680.0,35-44,0
Personal Loan,Other,Personal,156500,5.625,300.0,4980.0,65-74,0
Personal Loan,Other,Personal,496500,3.99,360.0,17340.0,45-54,0
Mortgage Loan,Business Expansion,Personal,716500,4.125,360.0,14760.0,35-44,0
Mortgage Loan,Other,Personal,446500,2.99,360.0,5760.0,35-44,0
Personal Loan,Other,Personal,86500,3.75,180.0,2880.0,<25,0
Personal Loan,Home Purchase,Personal,526500,3.99,300.0,4380.0,25-34,1
Personal Loan,Home Purchase,Personal,666500,4.25,360.0,16260.0,35-44,0
Personal Loan,Other,Personal,256500,3.99,360.0,6780.0,35-44,1
Personal Loan,Home Purchase,Personal,376500,3.875,360.0,4620.0,25-34,0
Business Loan,Home Purchase,Business,176500,4.125,360.0,4380.0,45-54,0
Personal Loan,Home Purchase,Personal,406500,4.375,360.0,8160.0,45-54,0
Business Loan,Business Expansion,Business,66500,3.99,360.0,1020.0,45-54,1
Personal Loan,Other,Personal,176500,3.125,180.0,6120.0,45-54,0
Personal Loan,Business Expansion,Personal,226500,3.625,240.0,3780.0,55-64,0
Personal Loan,Business Expansion,Personal,486500,3.99,360.0,11700.0,55-64,0
Personal Loan,Business Expansion,Personal,216500,5.25,360.0,2520.0,65-74,0
Business Loan,Business Expansion,Business,366500,3.5,360.0,6180.0,55-64,0
Business Loan,Business Expansion,Business,296500,4.125,360.0,5460.0,55-64,0
Business Loan,Other,Business,376500,3.625,360.0,5760.0,45-54,0
Personal Loan,Other,Personal,196500,3.99,360.0,6660.0,35-44,1
Personal Loan,Home Purchase,Personal,176500,3.99,300.0,5580.0,55-64,1
Personal Loan,Other,Personal,286500,3.99,324.0,5700.0,45-54,0
Mortgage Loan,Other,Personal,546500,3.25,360.0,5760.0,25-34,0
Business Loan,Home Purchase,Business,256500,3.99,360.0,5400.0,55-64,1
Personal Loan,Business Expansion,Personal,196500,3.99,240.0,3540.0,55-64,0
Personal Loan,Business Expansion,Personal,486500,3.875,180.0,8340.0,65-74,0
Business Loan,Other,Business,206500,3.99,360.0,3000.0,25-34,1
Personal Loan,Business Expansion,Personal,206500,4.0,360.0,4560.0,65-74,0
Personal Loan,Home Purchase,Personal,616500,3.625,360.0,8100.0,35-44,0
Personal Loan,Business Expansion,Personal,476500,5.19,360.0,7500.0,45-54,0
Personal Loan,Other,Personal,406500,3.0,180.0,31920.0,25-34,0
Personal Loan,Home Purchase,Personal,326500,3.875,360.0,6540.0,35-44,0
Mortgage Loan,Business Expansion,Personal,146500,3.5,360.0,8100.0,55-64,0
Personal Loan,Other,Personal,766500,3.69,360.0,9300.0,35-44,0
Personal Loan,Other,Personal,636500,5.125,360.0,16500.0,25-34,0
Business Loan,Home Purchase,Business,346500,2.875,360.0,3480.0,45-54,0
Personal Loan,Other,Personal,616500,3.99,360.0,11460.0,55-64,1
Personal Loan,Business Expansion,Personal,356500,3.25,360.0,8520.0,45-54,0
Personal Loan,Other,Personal,486500,3.75,360.0,4740.0,45-54,0
Personal Loan,Other,Personal,506500,4.75,360.0,5040.0,45-54,0
Personal Loan,Business Expansion,Personal,126500,4.125,180.0,6780.0,55-64,0
Personal Loan,Home Purchase,Personal,246500,3.75,360.0,2820.0,25-34,0
Personal Loan,Home Purchase,Personal,96500,4.625,360.0,1800.0,55-64,0
Personal Loan,Other,Personal,246500,3.99,360.0,5940.0,25-34,1
Personal Loan,Home Purchase,Personal,306500,4.0,360.0,5940.0,55-64,0
Personal Loan,Business Expansion,Personal,486500,3.625,360.0,6360.0,65-74,0
Mortgage Loan,Other,Personal,686500,3.5,360.0,5760.0,35-44,0
Personal Loan,Other,Personal,516500,3.625,360.0,6480.0,25-34,0
Business Loan,Business Expansion,Business,176500,3.99,360.0,2880.0,45-54,1
Personal Loan,Home Purchase,Personal,306500,3.99,360.0,5160.0,35-44,1
Business Loan,Home Purchase,Business,266500,4.5,360.0,4080.0,25-34,0
Personal Loan,Home Purchase,Personal,446500,4.25,360.0,4860.0,55-64,0
Personal Loan,Home Purchase,Personal,256500,4.56,360.0,5520.0,35-44,0
Personal Loan,Other,Personal,386500,3.875,360.0,7800.0,45-54,0
Personal Loan,Home Purchase,Personal,316500,3.99,360.0,14280.0,55-64,1
Mortgage Loan,Other,Personal,276500,3.25,360.0,5760.0,45-54,0
Personal Loan,Other,Personal,356500,3.75,360.0,4860.0,65-74,0
Business Loan,Home Purchase,Business,636500,4.125,360.0,8520.0,35-44,0
Business Loan,Business Expansion,Business,156500,3.99,360.0,4800.0,25-34,1
Personal Loan,Business Expansion,Personal,336500,3.25,180.0,9780.0,35-44,0
Personal Loan,Other,Personal,226500,4.99,360.0,5280.0,35-44,0
Personal Loan,Business Expansion,Personal,176500,4.875,360.0,2880.0,45-54,0
Personal Loan,Business Expansion,Personal,206500,3.875,360.0,4860.0,45-54,0
Personal Loan,Home Purchase,Personal,126500,5.5,360.0,2700.0,<25,0
Personal Loan,Business Expansion,Personal,296500,4.99,360.0,5460.0,55-64,0
Personal Loan,Other,Personal,346500,4.125,360.0,8280.0,35-44,0
Personal Loan,Business Expansion,Personal,236500,5.25,360.0,4680.0,55-64,0
Personal Loan,Other,Personal,256500,3.99,360.0,3660.0,55-64,1
Personal Loan,Home Purchase,Personal,486500,4.5,360.0,10200.0,35-44,0
Mortgage Loan,Business Expansion,Personal,236500,3.99,360.0,9060.0,55-64,0
Personal Loan,Other,Personal,456500,3.99,360.0,4860.0,45-54,1
Personal Loan,Other,Personal,106500,3.99,180.0,3180.0,55-64,0
Personal Loan,Home Purchase,Personal,286500,4.625,360.0,3060.0,35-44,0
Personal Loan,Home Purchase,Personal,376500,3.5,360.0,8940.0,55-64,0
Personal Loan,Business Expansion,Personal,106500,3.99,300.0,4860.0,55-64,1
Personal Loan,Home Purchase,Personal,386500,3.99,360.0,5280.0,>74,0
Business Loan,Other,Business,366500,3.625,360.0,5760.0,45-54,0
Personal Loan,Business Expansion,Personal,106500,4.5,360.0,1380.0,55-64,0
Personal Loan,Business Expansion,Personal,486500,3.99,360.0,6120.0,35-44,1
Mortgage Loan,Home Purchase,Personal,256500,3.75,360.0,3720.0,65-74,0
Personal Loan,Other,Personal,196500,4.125,324.0,3240.0,65-74,0
Mortgage Loan,Other,Personal,356500,2.75,360.0,5760.0,35-44,0
Personal Loan,Business Expansion,Personal,356500,4.25,360.0,7860.0,25-34,0
Personal Loan,Business Expansion,Personal,406500,4.99,348.0,6300.0,45-54,0
Personal Loan,Business Expansion,Personal,516500,3.875,360.0,16800.0,45-54,0
Personal Loan,Home Purchase,Personal,236500,3.875,360.0,9180.0,25-34,0
Personal Loan,Home Purchase,Personal,446500,3.69,360.0,9660.0,35-44,0
Personal Loan,Business Expansion,Personal,296500,4.625,360.0,7680.0,35-44,0
Personal Loan,Home Purchase,Personal,626500,3.875,360.0,42900.0,45-54,0
Personal Loan,Business Expansion,Personal,306500,3.99,360.0,14340.0,45-54,0
Personal Loan,Education,Personal,276500,3.99,180.0,9780.0,55-64,1
Personal Loan,Other,Personal,166500,3.5,360.0,2640.0,65-74,0
Personal Loan,Home Purchase,Personal,626500,3.75,360.0,9420.0,35-44,0
Personal Loan,Other,Personal,306500,3.75,360.0,6060.0,45-54,0
Business Loan,Business Expansion,Business,246500,3.875,360.0,4980.0,35-44,0
Personal Loan,Education,Personal,216500,4.375,180.0,16680.0,55-64,0
Personal Loan,Other,Personal,236500,3.99,360.0,4920.0,45-54,1
Business Loan,Home Purchase,Business,556500,4.125,360.0,6240.0,45-54,0
Business Loan,Business Expansion,Business,86500,4.75,360.0,4320.0,25-34,0
Mortgage Loan,Business Expansion,Personal,116500,3.99,360.0,1380.0,45-54,1
Personal Loan,Other,Personal,656500,4.0,360.0,6720.0,35-44,0
Personal Loan,Other,Personal,426500,4.0,360.0,6840.0,55-64,0
Personal Loan,Home Purchase,Personal,486500,3.99,360.0,6540.0,35-44,1
Personal Loan,Business Expansion,Personal,516500,4.75,360.0,4920.0,35-44,0
Business Loan,Business Expansion,Business,196500,3.875,360.0,4320.0,45-54,0
Personal Loan,Home Purchase,Personal,136500,4.99,360.0,2040.0,55-64,0
Personal Loan,Home Purchase,Personal,436500,4.375,360.0,8280.0,65-74,0
Mortgage Loan,Other,Personal,296500,3.375,360.0,5760.0,45-54,0
Personal Loan,Home Purchase,Personal,106500,3.99,360.0,2160.0,35-44,0
Personal Loan,Business Expansion,Personal,656500,3.69,240.0,12300.0,55-64,0
Personal Loan,Home Purchase,Personal,206500,3.99,360.0,6120.0,45-54,0
Personal Loan,Other,Personal,336500,3.99,360.0,8160.0,35-44,1
Business Loan,Business Expansion,Business,266500,3.875,360.0,4020.0,>74,0
Mortgage Loan,Other,Personal,276500,2.99,360.0,5760.0,65-74,0
Personal Loan,Home Purchase,Personal,726500,4.375,360.0,12780.0,45-54,0
Personal Loan,Home Purchase,Personal,276500,4.99,336.0,9000.0,35-44,0
Personal Loan,Business Expansion,Personal,106500,4.75,360.0,5880.0,35-44,0
Personal Loan,Other,Personal,216500,4.375,360.0,6120.0,65-74,0
Personal Loan,Other,Personal,456500,3.625,360.0,7260.0,25-34,0
Personal Loan,Business Expansion,Personal,406500,3.99,360.0,1380.0,45-54,1
Personal Loan,Other,Personal,446500,3.99,360.0,5640.0,55-64,0
Personal Loan,Business Expansion,Personal,326500,4.25,360.0,5280.0,>74,0
Personal Loan,Other,Personal,376500,3.99,360.0,5340.0,65-74,0
Personal Loan,Business Expansion,Personal,236500,5.375,360.0,5040.0,35-44,0
Personal Loan,Home Purchase,Personal,256500,5.5,360.0,9180.0,55-64,0
Personal Loan,Other,Personal,596500,4.5,360.0,8220.0,45-54,0
Personal Loan,Home Purchase,Personal,296500,4.5,360.0,5280.0,25-34,0
Personal Loan,Business Expansion,Personal,206500,3.99,360.0,10080.0,45-54,0
Mortgage Loan,Business Expansion,Personal,236500,4.25,300.0,6060.0,35-44,0
Personal Loan,Education,Personal,206500,4.125,360.0,5700.0,35-44,0
Personal Loan,Other,Personal,376500,3.75,360.0,4980.0,45-54,0
Personal Loan,Business Expansion,Personal,456500,3.99,360.0,12600.0,35-44,1
Personal Loan,Other,Personal,406500,3.375,360.0,9660.0,35-44,0
Business Loan,Other,Business,496500,3.49,360.0,5760.0,45-54,0
Mortgage Loan,Other,Personal,286500,3.99,360.0,0.0,35-44,1
Business Loan,Business Expansion,Business,176500,3.99,300.0,5940.0,35-44,1
Personal Loan,Other,Personal,456500,3.99,180.0,34440.0,45-54,1
Personal Loan,Other,Personal,216500,4.625,360.0,9660.0,55-64,0
Personal Loan,Other,Personal,356500,3.99,360.0,5700.0,65-74,1
Business Loan,Home Purchase,Business,496500,3.99,360.0,9300.0,35-44,0
Personal Loan,Home Purchase,Personal,486500,3.99,360.0,12000.0,35-44,1
Business Loan,Business Expansion,Business,356500,3.875,360.0,9060.0,35-44,0
Personal Loan,Other,Personal,336500,3.99,360.0,4680.0,>74,0
Personal Loan,Business Expansion,Personal,366500,3.99,360.0,4860.0,25-34,1
Personal Loan,Business Expansion,Personal,1006500,3.99,360.0,32100.0,45-54,1
Personal Loan,Home Purchase,Personal,726500,4.56,360.0,7020.0,35-44,0
Personal Loan,Home Purchase,Personal,136500,3.775,360.0,4320.0,65-74,0
Personal Loan,Business Expansion,Personal,196500,3.99,360.0,1980.0,65-74,1
Personal Loan,Business Expansion,Personal,286500,3.99,360.0,3000.0,65-74,1
Personal Loan,Other,Personal,366500,2.75,360.0,10980.0,55-64,0
Personal Loan,Business Expansion,Personal,236500,3.75,180.0,6480.0,55-64,0
Business Loan,Business Expansion,Business,126500,3.99,360.0,2100.0,65-74,0
Personal Loan,Business Expansion,Personal,326500,4.25,360.0,5220.0,45-54,0
Mortgage Loan,Home Purchase,Personal,236500,3.99,360.0,4440.0,65-74,1
Personal Loan,Business Expansion,Personal,476500,3.99,360.0,6480.0,65-74,1
Personal Loan,Other,Personal,366500,3.375,360.0,4140.0,35-44,0
Personal Loan,Business Expansion,Personal,256500,3.75,360.0,6600.0,55-64,0
Personal Loan,Business Expansion,Personal,406500,3.99,360.0,7320.0,65-74,1
Personal Loan,Business Expansion,Personal,226500,3.99,360.0,2460.0,>74,0
Personal Loan,Home Purchase,Personal,686500,3.69,360.0,18720.0,35-44,0
Personal Loan,Other,Personal,376500,3.99,360.0,5160.0,55-64,1
Personal Loan,Business Expansion,Personal,186500,3.5,180.0,3300.0,55-64,0
Personal Loan,Other,Personal,466500,3.99,180.0,6960.0,65-74,1
Personal Loan,Business Expansion,Personal,266500,3.99,360.0,4380.0,35-44,0
Business Loan,Other,Business,476500,3.5,360.0,5760.0,65-74,0
Business Loan,Business Expansion,Business,246500,3.99,360.0,7680.0,55-64,1
Personal Loan,Home Purchase,Personal,326500,3.99,360.0,5640.0,25-34,1
Personal Loan,Other,Personal,436500,4.125,360.0,9780.0,25-34,0
Business Loan,Business Expansion,Business,346500,3.99,360.0,7080.0,45-54,0
Mortgage Loan,Other,Personal,276500,2.99,360.0,5760.0,45-54,0
Personal Loan,Business Expansion,Personal,256500,3.99,360.0,6120.0,55-64,0
Personal Loan,Business Expansion,Personal,196500,5.25,360.0,4020.0,35-44,0
Personal Loan,Other,Personal,136500,3.75,240.0,2640.0,45-54,0
Personal Loan,Other,Personal,166500,4.5,360.0,3420.0,35-44,0
Mortgage Loan,Other,Personal,256500,3.5,360.0,5760.0,>74,0
Personal Loan,Home Purchase,Personal,456500,3.99,360.0,7740.0,25-34,1
Mortgage Loan,Other,Personal,656500,3.0,360.0,5760.0,65-74,0
Business Loan,Business Expansion,Business,176500,3.99,300.0,4140.0,45-54,0
Personal Loan,Home Purchase,Personal,316500,4.25,360.0,5820.0,45-54,0
Personal Loan,Other,Personal,296500,3.99,180.0,6000.0,45-54,1
Personal Loan,Home Purchase,Personal,96500,3.99,120.0,2340.0,55-64,0
Personal Loan,Other,Personal,546500,3.99,360.0,8940.0,55-64,1
Personal Loan,Education,Personal,156500,3.875,360.0,9660.0,35-44,0
Personal Loan,Home Purchase,Personal,516500,3.99,360.0,11400.0,35-44,1
Personal Loan,Business Expansion,Personal,176500,4.25,360.0,2520.0,65-74,0
Personal Loan,Other,Personal,296500,3.75,360.0,10020.0,45-54,0
Personal Loan,Education,Personal,76500,3.99,360.0,1440.0,55-64,1
Personal Loan,Home Purchase,Personal,186500,3.99,360.0,9420.0,55-64,1
Personal Loan,Home Purchase,Personal,86500,5.19,360.0,5220.0,25-34,0
Personal Loan,Other,Personal,356500,3.99,360.0,6060.0,35-44,0
Personal Loan,Business Expansion,Personal,486500,4.5,360.0,7680.0,65-74,0
Personal Loan,Home Purchase,Personal,486500,4.375,360.0,7500.0,45-54,0
Personal Loan,Other,Personal,186500,3.75,240.0,5100.0,45-54,0
Personal Loan,Other,Personal,486500,3.99,360.0,6960.0,45-54,1
Business Loan,Business Expansion,Business,446500,3.25,360.0,8280.0,45-54,0
Personal Loan,Business Expansion,Personal,206500,3.99,360.0,10200.0,>74,0
Personal Loan,Home Purchase,Personal,466500,4.25,360.0,5280.0,35-44,0
Personal Loan,Business Expansion,Personal,286500,4.5,360.0,6480.0,65-74,0
Personal Loan,Other,Personal,486500,3.375,360.0,4140.0,35-44,0
Personal Loan,Business Expansion,Personal,556500,4.75,360.0,15480.0,35-44,0
Personal Loan,Business Expansion,Personal,456500,3.99,360.0,7620.0,35-44,1
Personal Loan,Home Purchase,Personal,176500,4.56,360.0,8160.0,25-34,0
Personal Loan,Business Expansion,Personal,426500,5.375,360.0,5760.0,55-64,0
Personal Loan,Business Expansion,Personal,246500,4.99,360.0,6600.0,35-44,0
Business Loan,Home Purchase,Business,286500,3.125,360.0,6300.0,25-34,0
Personal Loan,Other,Personal,356500,3.625,360.0,10380.0,35-44,0
Personal Loan,Home Purchase,Personal,216500,3.5,360.0,2100.0,65-74,0
Personal Loan,Other,Personal,86500,4.875,360.0,3180.0,65-74,0
Mortgage Loan,Home Purchase,Personal,656500,3.375,360.0,11100.0,35-44,0
Personal Loan,Business Expansion,Personal,166500,4.75,240.0,6840.0,45-54,0
Business Loan,Other,Business,246500,3.99,360.0,4680.0,45-54,1
Personal Loan,Other,Personal,296500,3.99,360.0,8820.0,35-44,1
Personal Loan,Home Purchase,Personal,136500,4.0,360.0,2760.0,>74,0
Personal Loan,Education,Personal,76500,3.99,360.0,660.0,55-64,1
Personal Loan,Other,Personal,556500,3.625,360.0,7500.0,55-64,0
Personal Loan,Business Expansion,Personal,676500,3.99,360.0,18060.0,45-54,0
Personal Loan,Business Expansion,Personal,166500,3.99,180.0,4440.0,55-64,0
Personal Loan,Home Purchase,Personal,726500,4.5,360.0,18780.0,35-44,0
Mortgage Loan,Business Expansion,Personal,166500,3.99,360.0,5220.0,65-74,0
Business Loan,Business Expansion,Business,356500,3.99,360.0,4080.0,55-64,0
Personal Loan,Home Purchase,Personal,396500,5.25,360.0,5640.0,35-44,0
